user_id,cohort_month,join_date,period,is_active,revenue
9,2023-01-01,2023-01-01,2,0,0
9,2023-01-01,2023-01-01,3,1,14
9,2023-01-01,2023-01-01,4,0,0
9,2023-01-01,2023-01-01,5,0,0
9,2023-01-01,2023-01-01,6,0,0
9,2023-01-01,2023-01-01,7,0,0
9,2023-01-01,2023-01-01,8,1,12
9,2023-01-01,2023-01-01,9,0,0
10,2023-06-01,2023-06-01,0,1,8
10,2023-06-01,2023-06-01,1,1,11
10,2023-06-01,2023-06-01,2,0,0
10,2023-06-01,2023-06-01,3,1,7
10,2023-06-01,2023-06-01,4,0,0
11,2023-10-01,2023-10-01,0,1,9
12,2023-08-01,2023-08-01,0,1,12
12,2023-08-01,2023-08-01,1,1,15
12,2023-08-01,2023-08-01,2,0,0
13,2023-08-01,2023-08-01,0,1,9
13,2023-08-01,2023-08-01,1,1,11
13,2023-08-01,2023-08-01,2,1,10
14,2023-08-01,2023-08-01,0,1,15
14,2023-08-01,2023-08-01,1,1,15
14,2023-08-01,2023-08-01,2,1,11
15,2023-08-01,2023-08-01,0,1,8
15,2023-08-01,2023-08-01,1,1,8
15,2023-08-01,2023-08-01,2,1,13
16,2023-06-01,2023-06-01,0,1,7
16,2023-06-01,2023-06-01,1,0,0
16,2023-06-01,2023-06-01,2,1,17
16,2023-06-01,2023-06-01,3,0,0
16,2023-06-01,2023-06-01,4,0,0
17,2023-02-01,2023-02-01,0,1,18
17,2023-02-01,2023-02-01,1,0,0
17,2023-02-01,2023-02-01,2,0,0
17,2023-02-01,2023-02-01,3,0,0
17,2023-02-01,2023-02-01,4,0,0
17,2023-02-01,2023-02-01,5,0,0
17,2023-02-01,2023-02-01,6,0,0
17,2023-02-01,2023-02-01,7,0,0
17,2023-02-01,2023-02-01,8,0,0
18,2023-09-01,2023-09-01,0,1,9
18,2023-09-01,2023-09-01,1,1,7
19,2023-05-01,2023-05-01,0,1,9
19,2023-05-01,2023-05-01,1,0,0
19,2023-05-01,2023-05-01,2,0,0
19,2023-05-01,2023-05-01,3,1,10
19,2023-05-01,2023-05-01,4,0,0
19,2023-05-01,2023-05-01,5,1,14
20,2023-06-01,2023-06-01,0,1,8
20,2023-06-01,2023-06-01,1,1,12
20,2023-06-01,2023-06-01,2,0,0
20,2023-06-01,2023-06-01,3,1,12
20,2023-06-01,2023-06-01,4,0,0
21,2023-04-01,2023-04-01,0,1,11
21,2023-04-01,2023-04-01,1,1,11
21,2023-04-01,2023-04-01,2,1,14
21,2023-04-01,2023-04-01,3,1,9
21,2023-04-01,2023-04-01,4,1,9
21,2023-04-01,2023-04-01,5,0,0
21,2023-04-01,2023-04-01,6,1,11
22,2023-02-01,2023-02-01,0,1,9
22,2023-02-01,2023-02-01,1,0,0
22,2023-02-01,2023-02-01,2,0,0
22,2023-02-01,2023-02-01,3,0,0
22,2023-02-01,2023-02-01,4,0,0
22,2023-02-01,2023-02-01,5,0,0
22,2023-02-01,2023-02-01,6,0,0
22,2023-02-01,2023-02-01,7,0,0
22,2023-02-01,2023-02-01,8,0,0
23,2023-10-01,2023-10-01,0,1,8
24,2023-08-01,2023-08-01,0,1,11
24,2023-08-01,2023-08-01,1,0,0
24,2023-08-01,2023-08-01,2,1,6
25,2023-07-01,2023-07-01,0,1,11
25,2023-07-01,2023-07-01,1,1,14
25,2023-07-01,2023-07-01,2,1,8
25,2023-07-01,2023-07-01,3,1,8
26,2023-05-01,2023-05-01,0,1,14
26,2023-05-01,2023-05-01,1,1,7
26,2023-05-01,2023-05-01,2,1,9
26,2023-05-01,2023-05-01,3,1,11
26,2023-05-01,2023-05-01,4,1,9
26,2023-05-01,2023-05-01,5,0,0
27,2023-09-01,2023-09-01,0,1,13
27,2023-09-01,2023-09-01,1,1,9
28,2023-06-01,2023-06-01,0,1,6
28,2023-06-01,2023-06-01,1,1,15
28,2023-06-01,2023-06-01,2,1,9
28,2023-06-01,2023-06-01,3,1,12
28,2023-06-01,2023-06-01,4,0,0
29,2023-05-01,2023-05-01,0,1,5
29,2023-05-01,2023-05-01,1,1,9
29,2023-05-01,2023-05-01,2,1,9
29,2023-05-01,2023-05-01,3,1,11
29,2023-05-01,2023-05-01,4,0,0
29,2023-05-01,2023-05-01,5,1,10
30,2023-05-01,2023-05-01,0,1,9
30,2023-05-01,2023-05-01,1,0,0
30,2023-05-01,2023-05-01,2,0,0
30,2023-05-01,2023-05-01,3,1,7
30,2023-05-01,2023-05-01,4,1,14
30,2023-05-01,2023-05-01,5,0,0
31,2023-03-01,2023-03-01,0,1,7
31,2023-03-01,2023-03-01,1,1,7
31,2023-03-01,2023-03-01,2,1,10
31,2023-03-01,2023-03-01,3,0,0
31,2023-03-01,2023-03-01,4,0,0
31,2023-03-01,2023-03-01,5,1,17
31,2023-03-01,2023-03-01,6,0,0
31,2023-03-01,2023-03-01,7,0,0
32,2023-01-01,2023-01-01,0,1,10
32,2023-01-01,2023-01-01,1,1,11
32,2023-01-01,2023-01-01,2,0,0
32,2023-01-01,2023-01-01,3,0,0
32,2023-01-01,2023-01-01,4,0,0
32,2023-01-01,2023-01-01,5,1,11
32,2023-01-01,2023-01-01,6,0,0
32,2023-01-01,2023-01-01,7,0,0
32,2023-01-01,2023-01-01,8,0,0
32,2023-01-01,2023-01-01,9,0,0
33,2023-06-01,2023-06-01,0,1,13
33,2023-06-01,2023-06-01,1,1,6
33,2023-06-01,2023-06-01,2,0,0
33,2023-06-01,2023-06-01,3,0,0
33,2023-06-01,2023-06-01,4,1,6
34,2023-09-01,2023-09-01,0,1,9
34,2023-09-01,2023-09-01,1,1,8
35,2023-01-01,2023-01-01,0,1,7
35,2023-01-01,2023-01-01,1,1,13
35,2023-01-01,2023-01-01,2,1,10
35,2023-01-01,2023-01-01,3,0,0
35,2023-01-01,2023-01-01,4,0,0
35,2023-01-01,2023-01-01,5,0,0
35,2023-01-01,2023-01-01,6,1,6
35,2023-01-01,2023-01-01,7,0,0
35,2023-01-01,2023-01-01,8,0,0
35,2023-01-01,2023-01-01,9,0,0
36,2023-09-01,2023-09-01,0,1,8
36,2023-09-01,2023-09-01,1,1,9
37,2023-09-01,2023-09-01,0,1,13
37,2023-09-01,2023-09-01,1,1,8
38,2023-03-01,2023-03-01,0,1,8
38,2023-03-01,2023-03-01,1,1,12
38,2023-03-01,2023-03-01,2,0,0
38,2023-03-01,2023-03-01,3,1,9
38,2023-03-01,2023-03-01,4,0,0
38,2023-03-01,2023-03-01,5,1,8
38,2023-03-01,2023-03-01,6,0,0
38,2023-03-01,2023-03-01,7,0,0
39,2023-07-01,2023-07-01,0,1,6
39,2023-07-01,2023-07-01,1,1,15
39,2023-07-01,2023-07-01,2,1,10
39,2023-07-01,2023-07-01,3,1,8
40,2023-02-01,2023-02-01,0,1,12
40,2023-02-01,2023-02-01,1,1,9
40,2023-02-01,2023-02-01,2,1,11
40,2023-02-01,2023-02-01,3,0,0
40,2023-02-01,2023-02-01,4,1,9
40,2023-02-01,2023-02-01,5,0,0
40,2023-02-01,2023-02-01,6,0,0
40,2023-02-01,2023-02-01,7,0,0
40,2023-02-01,2023-02-01,8,0,0
41,2023-08-01,2023-08-01,0,1,5
41,2023-08-01,2023-08-01,1,1,12
41,2023-08-01,2023-08-01,2,0,0
42,2023-08-01,2023-08-01,0,1,7
42,2023-08-01,2023-08-01,1,1,7
42,2023-08-01,2023-08-01,2,0,0
43,2023-04-01,2023-04-01,0,1,8
43,2023-04-01,2023-04-01,1,1,7
43,2023-04-01,2023-04-01,2,1,17
43,2023-04-01,2023-04-01,3,0,0
43,2023-04-01,2023-04-01,4,0,0
43,2023-04-01,2023-04-01,5,0,0
43,2023-04-01,2023-04-01,6,1,9
44,2023-01-01,2023-01-01,0,1,14
44,2023-01-01,2023-01-01,1,1,8
44,2023-01-01,2023-01-01,2,1,11
44,2023-01-01,2023-01-01,3,0,0
44,2023-01-01,2023-01-01,4,1,10
44,2023-01-01,2023-01-01,5,0,0
44,2023-01-01,2023-01-01,6,0,0
44,2023-01-01,2023-01-01,7,0,0
44,2023-01-01,2023-01-01,8,0,0
44,2023-01-01,2023-01-01,9,0,0
45,2023-10-01,2023-10-01,0,1,9
46,2023-05-01,2023-05-01,0,1,6
46,2023-05-01,2023-05-01,1,1,6
46,2023-05-01,2023-05-01,2,0,0
46,2023-05-01,2023-05-01,3,0,0
46,2023-05-01,2023-05-01,4,1,7
46,2023-05-01,2023-05-01,5,0,0
47,2023-09-01,2023-09-01,0,1,22
47,2023-09-01,2023-09-01,1,0,0
48,2023-07-01,2023-07-01,0,1,13
48,2023-07-01,2023-07-01,1,1,12
48,2023-07-01,2023-07-01,2,1,6
48,2023-07-01,2023-07-01,3,1,10
49,2023-08-01,2023-08-01,0,1,5
49,2023-08-01,2023-08-01,1,1,8
49,2023-08-01,2023-08-01,2,1,8
50,2023-08-01,2023-08-01,0,1,9
50,2023-08-01,2023-08-01,1,1,13
50,2023-08-01,2023-08-01,2,1,5
51,2023-02-01,2023-02-01,0,1,10
51,2023-02-01,2023-02-01,1,0,0
51,2023-02-01,2023-02-01,2,0,0
51,2023-02-01,2023-02-01,3,0,0
51,2023-02-01,2023-02-01,4,1,13
51,2023-02-01,2023-02-01,5,0,0
51,2023-02-01,2023-02-01,6,1,13
51,2023-02-01,2023-02-01,7,0,0
51,2023-02-01,2023-02-01,8,0,0
52,2023-04-01,2023-04-01,0,1,9
52,2023-04-01,2023-04-01,1,1,13
52,2023-04-01,2023-04-01,2,1,10
52,2023-04-01,2023-04-01,3,0,0
52,2023-04-01,2023-04-01,4,0,0
52,2023-04-01,2023-04-01,5,1,5
52,2023-04-01,2023-04-01,6,0,0
53,2023-05-01,2023-05-01,0,1,6
53,2023-05-01,2023-05-01,1,1,9
53,2023-05-01,2023-05-01,2,1,14
53,2023-05-01,2023-05-01,3,0,0
53,2023-05-01,2023-05-01,4,1,8
53,2023-05-01,2023-05-01,5,0,0
54,2023-05-01,2023-05-01,0,1,10
54,2023-05-01,2023-05-01,1,1,11
54,2023-05-01,2023-05-01,2,0,0
54,2023-05-01,2023-05-01,3,0,0
54,2023-05-01,2023-05-01,4,1,13
54,2023-05-01,2023-05-01,5,0,0
55,2023-01-01,2023-01-01,0,1,8
55,2023-01-01,2023-01-01,1,1,11
55,2023-01-01,2023-01-01,2,0,0
55,2023-01-01,2023-01-01,3,0,0
55,2023-01-01,2023-01-01,4,0,0
55,2023-01-01,2023-01-01,5,1,11
55,2023-01-01,2023-01-01,6,1,10
55,2023-01-01,2023-01-01,7,1,4
55,2023-01-01,2023-01-01,8,0,0
55,2023-01-01,2023-01-01,9,0,0
56,2023-06-01,2023-06-01,0,1,12
56,2023-06-01,2023-06-01,1,0,0
56,2023-06-01,2023-06-01,2,0,0
56,2023-06-01,2023-06-01,3,0,0
56,2023-06-01,2023-06-01,4,0,0
57,2023-02-01,2023-02-01,0,1,8
57,2023-02-01,2023-02-01,1,0,0
57,2023-02-01,2023-02-01,2,0,0
57,2023-02-01,2023-02-01,3,0,0
57,2023-02-01,2023-02-01,4,0,0
57,2023-02-01,2023-02-01,5,0,0
57,2023-02-01,2023-02-01,6,1,16
57,2023-02-01,2023-02-01,7,0,0
57,2023-02-01,2023-02-01,8,0,0
58,2023-08-01,2023-08-01,0,1,11
58,2023-08-01,2023-08-01,1,1,11
58,2023-08-01,2023-08-01,2,0,0
59,2023-07-01,2023-07-01,0,1,9
59,2023-07-01,2023-07-01,1,1,6
59,2023-07-01,2023-07-01,2,0,0
59,2023-07-01,2023-07-01,3,0,0
60,2023-10-01,2023-10-01,0,1,14
61,2023-08-01,2023-08-01,0,1,9
61,2023-08-01,2023-08-01,1,1,16
61,2023-08-01,2023-08-01,2,0,0
62,2023-04-01,2023-04-01,0,1,9
62,2023-04-01,2023-04-01,1,1,11
62,2023-04-01,2023-04-01,2,0,0
62,2023-04-01,2023-04-01,3,0,0
62,2023-04-01,2023-04-01,4,0,0
62,2023-04-01,2023-04-01,5,0,0
62,2023-04-01,2023-04-01,6,0,0
63,2023-10-01,2023-10-01,0,1,12
64,2023-05-01,2023-05-01,0,1,7
64,2023-05-01,2023-05-01,1,1,16
64,2023-05-01,2023-05-01,2,1,9
64,2023-05-01,2023-05-01,3,1,12
64,2023-05-01,2023-05-01,4,0,0
64,2023-05-01,2023-05-01,5,1,14
65,2023-04-01,2023-04-01,0,1,10
65,2023-04-01,2023-04-01,1,1,8
65,2023-04-01,2023-04-01,2,1,11
65,2023-04-01,2023-04-01,3,0,0
65,2023-04-01,2023-04-01,4,1,10
65,2023-04-01,2023-04-01,5,1,7
65,2023-04-01,2023-04-01,6,1,9
66,2023-10-01,2023-10-01,0,1,13
67,2023-04-01,2023-04-01,0,1,11
67,2023-04-01,2023-04-01,1,1,9
67,2023-04-01,2023-04-01,2,1,14
67,2023-04-01,2023-04-01,3,0,0
67,2023-04-01,2023-04-01,4,1,10
67,2023-04-01,2023-04-01,5,0,0
67,2023-04-01,2023-04-01,6,0,0
68,2023-01-01,2023-01-01,0,1,9
68,2023-01-01,2023-01-01,1,0,0
68,2023-01-01,2023-01-01,2,1,10
68,2023-01-01,2023-01-01,3,0,0
68,2023-01-01,2023-01-01,4,0,0
68,2023-01-01,2023-01-01,5,0,0
68,2023-01-01,2023-01-01,6,0,0
68,2023-01-01,2023-01-01,7,1,9
68,2023-01-01,2023-01-01,8,1,14
68,2023-01-01,2023-01-01,9,0,0
69,2023-05-01,2023-05-01,0,1,9
69,2023-05-01,2023-05-01,1,1,8
69,2023-05-01,2023-05-01,2,0,0
69,2023-05-01,2023-05-01,3,1,14
69,2023-05-01,2023-05-01,4,0,0
69,2023-05-01,2023-05-01,5,1,6
70,2023-08-01,2023-08-01,0,1,15
70,2023-08-01,2023-08-01,1,1,9
70,2023-08-01,2023-08-01,2,1,8
71,2023-02-01,2023-02-01,0,1,16
71,2023-02-01,2023-02-01,1,1,10
71,2023-02-01,2023-02-01,2,1,10
71,2023-02-01,2023-02-01,3,0,0
71,2023-02-01,2023-02-01,4,0,0
71,2023-02-01,2023-02-01,5,0,0
71,2023-02-01,2023-02-01,6,0,0
71,2023-02-01,2023-02-01,7,0,0
71,2023-02-01,2023-02-01,8,0,0
72,2023-05-01,2023-05-01,0,1,11
72,2023-05-01,2023-05-01,1,1,7
72,2023-05-01,2023-05-01,2,1,3
72,2023-05-01,2023-05-01,3,0,0
72,2023-05-01,2023-05-01,4,0,0
72,2023-05-01,2023-05-01,5,0,0
73,2023-02-01,2023-02-01,0,1,15
73,2023-02-01,2023-02-01,1,1,7
73,2023-02-01,2023-02-01,2,1,8
73,2023-02-01,2023-02-01,3,0,0
73,2023-02-01,2023-02-01,4,0,0
73,2023-02-01,2023-02-01,5,1,9
73,2023-02-01,2023-02-01,6,0,0
73,2023-02-01,2023-02-01,7,0,0
73,2023-02-01,2023-02-01,8,0,0
74,2023-07-01,2023-07-01,0,1,11
74,2023-07-01,2023-07-01,1,1,7
74,2023-07-01,2023-07-01,2,0,0
74,2023-07-01,2023-07-01,3,1,7
75,2023-05-01,2023-05-01,0,1,10
75,2023-05-01,2023-05-01,1,1,10
75,2023-05-01,2023-05-01,2,1,4
75,2023-05-01,2023-05-01,3,0,0
75,2023-05-01,2023-05-01,4,0,0
75,2023-05-01,2023-05-01,5,0,0
76,2023-04-01,2023-04-01,0,1,15
76,2023-04-01,2023-04-01,1,0,0
76,2023-04-01,2023-04-01,2,1,11
76,2023-04-01,2023-04-01,3,0,0
76,2023-04-01,2023-04-01,4,0,0
76,2023-04-01,2023-04-01,5,1,11
76,2023-04-01,2023-04-01,6,0,0
77,2023-03-01,2023-03-01,0,1,9
77,2023-03-01,2023-03-01,1,1,10
77,2023-03-01,2023-03-01,2,1,7
77,2023-03-01,2023-03-01,3,0,0
77,2023-03-01,2023-03-01,4,0,0
77,2023-03-01,2023-03-01,5,0,0
77,2023-03-01,2023-03-01,6,0,0
77,2023-03-01,2023-03-01,7,1,8
78,2023-06-01,2023-06-01,0,1,17
78,2023-06-01,2023-06-01,1,1,8
78,2023-06-01,2023-06-01,2,1,6
78,2023-06-01,2023-06-01,3,0,0
78,2023-06-01,2023-06-01,4,0,0
79,2023-07-01,2023-07-01,0,1,8
79,2023-07-01,2023-07-01,1,0,0
79,2023-07-01,2023-07-01,2,1,12
79,2023-07-01,2023-07-01,3,0,0
80,2023-10-01,2023-10-01,0,1,13
81,2023-05-01,2023-05-01,0,1,13
81,2023-05-01,2023-05-01,1,1,6
81,2023-05-01,2023-05-01,2,1,7
81,2023-05-01,2023-05-01,3,0,0
81,2023-05-01,2023-05-01,4,0,0
81,2023-05-01,2023-05-01,5,0,0
82,2023-02-01,2023-02-01,0,1,9
82,2023-02-01,2023-02-01,1,1,7
82,2023-02-01,2023-02-01,2,1,10
82,2023-02-01,2023-02-01,3,1,13
82,2023-02-01,2023-02-01,4,0,0
82,2023-02-01,2023-02-01,5,0,0
82,2023-02-01,2023-02-01,6,0,0
82,2023-02-01,2023-02-01,7,0,0
82,2023-02-01,2023-02-01,8,0,0
83,2023-09-01,2023-09-01,0,1,11
83,2023-09-01,2023-09-01,1,1,5
84,2023-07-01,2023-07-01,0,1,15
84,2023-07-01,2023-07-01,1,1,8
84,2023-07-01,2023-07-01,2,1,8
84,2023-07-01,2023-07-01,3,0,0
85,2023-08-01,2023-08-01,0,1,6
85,2023-08-01,2023-08-01,1,0,0
85,2023-08-01,2023-08-01,2,1,9
86,2023-01-01,2023-01-01,0,1,12
86,2023-01-01,2023-01-01,1,1,13
86,2023-01-01,2023-01-01,2,1,6
86,2023-01-01,2023-01-01,3,1,7
86,2023-01-01,2023-01-01,4,1,8
86,2023-01-01,2023-01-01,5,0,0
86,2023-01-01,2023-01-01,6,0,0
86,2023-01-01,2023-01-01,7,0,0
86,2023-01-01,2023-01-01,8,0,0
86,2023-01-01,2023-01-01,9,0,0
87,2023-04-01,2023-04-01,0,1,14
87,2023-04-01,2023-04-01,1,0,0
87,2023-04-01,2023-04-01,2,1,7
87,2023-04-01,2023-04-01,3,1,5
87,2023-04-01,2023-04-01,4,1,9
87,2023-04-01,2023-04-01,5,0,0
87,2023-04-01,2023-04-01,6,0,0
88,2023-08-01,2023-08-01,0,1,10
88,2023-08-01,2023-08-01,1,1,9
88,2023-08-01,2023-08-01,2,1,7
89,2023-09-01,2023-09-01,0,1,13
89,2023-09-01,2023-09-01,1,1,7
90,2023-05-01,2023-05-01,0,1,10
90,2023-05-01,2023-05-01,1,1,8
90,2023-05-01,2023-05-01,2,0,0
90,2023-05-01,2023-05-01,3,0,0
90,2023-05-01,2023-05-01,4,1,9
90,2023-05-01,2023-05-01,5,1,9
91,2023-09-01,2023-09-01,0,1,6
91,2023-09-01,2023-09-01,1,1,7
92,2023-09-01,2023-09-01,0,1,14
92,2023-09-01,2023-09-01,1,1,13
93,2023-04-01,2023-04-01,0,1,12
93,2023-04-01,2023-04-01,1,1,10
93,2023-04-01,2023-04-01,2,1,12
93,2023-04-01,2023-04-01,3,0,0
93,2023-04-01,2023-04-01,4,0,0
93,2023-04-01,2023-04-01,5,0,0
93,2023-04-01,2023-04-01,6,0,0
94,2023-09-01,2023-09-01,0,1,11
94,2023-09-01,2023-09-01,1,1,15
95,2023-03-01,2023-03-01,0,1,12
95,2023-03-01,2023-03-01,1,1,7
95,2023-03-01,2023-03-01,2,1,11
95,2023-03-01,2023-03-01,3,1,5
95,2023-03-01,2023-03-01,4,1,8
95,2023-03-01,2023-03-01,5,0,0
95,2023-03-01,2023-03-01,6,1,14
95,2023-03-01,2023-03-01,7,0,0
96,2023-03-01,2023-03-01,0,1,8
96,2023-03-01,2023-03-01,1,1,14
96,2023-03-01,2023-03-01,2,0,0
96,2023-03-01,2023-03-01,3,1,11
96,2023-03-01,2023-03-01,4,0,0
96,2023-03-01,2023-03-01,5,0,0
96,2023-03-01,2023-03-01,6,1,17
96,2023-03-01,2023-03-01,7,0,0
97,2023-07-01,2023-07-01,0,1,7
97,2023-07-01,2023-07-01,1,1,7
97,2023-07-01,2023-07-01,2,0,0
97,2023-07-01,2023-07-01,3,1,12
98,2023-07-01,2023-07-01,0,1,12
98,2023-07-01,2023-07-01,1,1,9
98,2023-07-01,2023-07-01,2,0,0
98,2023-07-01,2023-07-01,3,1,13
99,2023-02-01,2023-02-01,0,1,11
99,2023-02-01,2023-02-01,1,1,8
99,2023-02-01,2023-02-01,2,0,0
99,2023-02-01,2023-02-01,3,0,0
99,2023-02-01,2023-02-01,4,0,0
99,2023-02-01,2023-02-01,5,0,0
99,2023-02-01,2023-02-01,6,1,4
99,2023-02-01,2023-02-01,7,0,0
99,2023-02-01,2023-02-01,8,0,0
100,2023-09-01,2023-09-01,0,1,13
100,2023-09-01,2023-09-01,1,1,11
101,2023-02-01,2023-02-01,0,1,12
101,2023-02-01,2023-02-01,1,1,10
101,2023-02-01,2023-02-01,2,1,7
101,2023-02-01,2023-02-01,3,0,0
101,2023-02-01,2023-02-01,4,1,8
101,2023-02-01,2023-02-01,5,1,8
101,2023-02-01,2023-02-01,6,0,0
101,2023-02-01,2023-02-01,7,1,8
101,2023-02-01,2023-02-01,8,0,0
102,2023-09-01,2023-09-01,0,1,10
102,2023-09-01,2023-09-01,1,1,11
103,2023-01-01,2023-01-01,0,1,12
103,2023-01-01,2023-01-01,1,1,4
103,2023-01-01,2023-01-01,2,1,5
103,2023-01-01,2023-01-01,3,0,0
103,2023-01-01,2023-01-01,4,1,10
103,2023-01-01,2023-01-01,5,0,0
103,2023-01-01,2023-01-01,6,0,0
103,2023-01-01,2023-01-01,7,0,0
103,2023-01-01,2023-01-01,8,1,10
103,2023-01-01,2023-01-01,9,0,0
104,2023-08-01,2023-08-01,0,1,12
104,2023-08-01,2023-08-01,1,1,10
104,2023-08-01,2023-08-01,2,1,9
105,2023-08-01,2023-08-01,0,1,7
105,2023-08-01,2023-08-01,1,0,0
105,2023-08-01,2023-08-01,2,1,6
106,2023-08-01,2023-08-01,0,1,8
106,2023-08-01,2023-08-01,1,1,13
106,2023-08-01,2023-08-01,2,1,10
107,2023-07-01,2023-07-01,0,1,7
107,2023-07-01,2023-07-01,1,1,8
107,2023-07-01,2023-07-01,2,1,11
107,2023-07-01,2023-07-01,3,1,7
108,2023-05-01,2023-05-01,0,1,14
108,2023-05-01,2023-05-01,1,1,8
108,2023-05-01,2023-05-01,2,1,11
108,2023-05-01,2023-05-01,3,1,9
108,2023-05-01,2023-05-01,4,0,0
108,2023-05-01,2023-05-01,5,0,0
109,2023-08-01,2023-08-01,0,1,6
109,2023-08-01,2023-08-01,1,1,9
109,2023-08-01,2023-08-01,2,1,10
110,2023-03-01,2023-03-01,0,1,8
110,2023-03-01,2023-03-01,1,1,8
110,2023-03-01,2023-03-01,2,0,0
110,2023-03-01,2023-03-01,3,1,6
110,2023-03-01,2023-03-01,4,0,0
110,2023-03-01,2023-03-01,5,0,0
110,2023-03-01,2023-03-01,6,0,0
110,2023-03-01,2023-03-01,7,0,0
111,2023-08-01,2023-08-01,0,1,15
111,2023-08-01,2023-08-01,1,1,15
111,2023-08-01,2023-08-01,2,0,0
112,2023-06-01,2023-06-01,0,1,7
112,2023-06-01,2023-06-01,1,1,10
112,2023-06-01,2023-06-01,2,1,9
112,2023-06-01,2023-06-01,3,0,0
112,2023-06-01,2023-06-01,4,0,0
113,2023-05-01,2023-05-01,0,1,12
113,2023-05-01,2023-05-01,1,1,11
113,2023-05-01,2023-05-01,2,1,13
113,2023-05-01,2023-05-01,3,0,0
113,2023-05-01,2023-05-01,4,0,0
113,2023-05-01,2023-05-01,5,0,0
114,2023-06-01,2023-06-01,0,1,7
114,2023-06-01,2023-06-01,1,1,9
114,2023-06-01,2023-06-01,2,0,0
114,2023-06-01,2023-06-01,3,1,16
114,2023-06-01,2023-06-01,4,1,17
115,2023-06-01,2023-06-01,0,1,10
115,2023-06-01,2023-06-01,1,1,11
115,2023-06-01,2023-06-01,2,1,11
115,2023-06-01,2023-06-01,3,1,14
115,2023-06-01,2023-06-01,4,0,0
116,2023-01-01,2023-01-01,0,1,12
116,2023-01-01,2023-01-01,1,1,7
116,2023-01-01,2023-01-01,2,1,12
116,2023-01-01,2023-01-01,3,1,9
116,2023-01-01,2023-01-01,4,0,0
116,2023-01-01,2023-01-01,5,0,0
116,2023-01-01,2023-01-01,6,1,7
116,2023-01-01,2023-01-01,7,1,6
116,2023-01-01,2023-01-01,8,0,0
116,2023-01-01,2023-01-01,9,0,0
117,2023-02-01,2023-02-01,0,1,4
117,2023-02-01,2023-02-01,1,1,8
117,2023-02-01,2023-02-01,2,1,10
117,2023-02-01,2023-02-01,3,0,0
117,2023-02-01,2023-02-01,4,1,11
117,2023-02-01,2023-02-01,5,1,10
117,2023-02-01,2023-02-01,6,0,0
117,2023-02-01,2023-02-01,7,0,0
117,2023-02-01,2023-02-01,8,0,0
118,2023-03-01,2023-03-01,0,1,8
118,2023-03-01,2023-03-01,1,1,9
118,2023-03-01,2023-03-01,2,0,0
118,2023-03-01,2023-03-01,3,0,0
118,2023-03-01,2023-03-01,4,0,0
118,2023-03-01,2023-03-01,5,0,0
118,2023-03-01,2023-03-01,6,0,0
118,2023-03-01,2023-03-01,7,0,0
119,2023-02-01,2023-02-01,0,1,10
119,2023-02-01,2023-02-01,1,1,9
119,2023-02-01,2023-02-01,2,1,8
